COMMAND     PID   USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
ControlCe   640 justin    9u  IPv4 0x6bc22cdfa69b57b2      0t0  TCP *:7000 (LISTEN)
ControlCe   640 justin   10u  IPv6 0x6ef58190c7232d29      0t0  TCP *:7000 (LISTEN)
ControlCe   640 justin   11u  IPv4 0x64fde55d53db7b35      0t0  TCP *:5000 (LISTEN)
ControlCe   640 justin   12u  IPv6 0xa0c81c6f4b250471      0t0  TCP *:5000 (LISTEN)
rapportd    653 justin   10u  IPv4 0x89757c017992dfee      0t0  TCP *:53387 (LISTEN)
rapportd    653 justin   11u  IPv6 0x5e203532b8d92e56      0t0  TCP *:53387 (LISTEN)
node      21895 justin   31u  IPv4 0x394efd4994ccb49b      0t0  TCP 127.0.0.1:5173 (LISTEN)
node      21940 justin   16u  IPv4 0x231c3ed8238f54d3      0t0  TCP *:4000 (LISTEN)
zed       56502 justin   19u  IPv4 0xd04418669ddd56ce      0t0  TCP 127.0.0.1:44438 (LISTEN)
node      74979 justin   31u  IPv4 0x5d9d16f94c257852      0t0  TCP 127.0.0.1:5174 (LISTEN)
Raycast   84825 justin   37u  IPv4 0x165b66525201050f      0t0  TCP 127.0.0.1:7265 (LISTEN)
